7,2.34599,0.820888,,Data Point,Avg Dist -1,Avg Dist +1
0,0.644207,2.14039,,,,
7,2.40678,0.894382,,,,
0,0.970955,1.82131,,,,
2,1.50729,1.21761,,,,
9,1.8329,0.937976,,,,
1,1.11269,1.95429,,,,
7,2.74599,1.0697,,,,
3,1.24722,1.6653,,,,
2,1.24304,1.2779,,,,
9,1.87563,1.10801,,,,
7,2.36693,0.622136,,,,
7,2.03501,1.09644,,,,
6,0.330803,2.69948,,,,
2,1.74787,1.1568,,,,
7,2.0065,0.947622,,,,
8,1.24112,1.51453,,,,
4,1.55434,1.37952,,,,
7,1.97203,0.970013,,,,
3,1.98221,1.06095,,,,
6,0.253841,2.80951,,,,
1,1.0182,1.75704,,,,
3,1.75619,1.15149,,,,
6,0.304191,2.73668,,,,
9,1.52111,1.16428,,,,
3,2.18654,0.794284,,,,
1,1.62401,1.77003,,,,
4,0.997266,1.5978,,,,
1,1.65245,1.38574,,,,
7,2.13561,1.33152,,,,
6,0.54545,2.31591,,,,
9,2.49917,0.699746,,,,
6,0.313301,2.71923,,,,
0,0.954147,1.43121,,,,
5,2.16896,1.13959,,,,
4,1.64318,1.12577,,,,
9,1.92238,1.18421,,,,
9,2.45328,0.671053,,,,
2,1.30079,1.21008,,,,
1,0.723372,2.1208,,,,
9,2.83121,0.726479,,,,
4,0.972397,1.78563,,,,
8,0.87969,1.794,,,,
7,1.98021,1.26116,,,,
3,2.24621,1.29061,,,,
9,2.40967,0.763357,,,,
7,1.90257,1.16942,,,,
4,1.10966,1.5386,,,,
4,1.14785,1.61697,,,,
4,2.05843,0.967553,,,,
9,1.90529,0.918321,,,,
2,1.69987,0.819142,,,,
5,1.63867,1.19833,,,,
4,0.946385,1.84393,,,,
7,2.03616,1.21648,,,,
6,0.273412,2.70436,,,,
7,1.70921,1.22707,,,,
9,1.75867,0.976014,,,,
0,0.993263,1.81516,,,,
5,1.51774,1.43409,,,,
8,1.87908,0.804098,,,,
5,1.66268,1.63398,,,,
6,0.281712,2.71868,,,,
6,0.401492,2.45647,,,,
5,1.02569,1.76544,,,,
7,2.45938,0.748551,,,,
8,1.66533,1.07904,,,,
1,0.783951,2.28985,,,,
0,1.0215,1.78769,,,,
1,0.830574,2.00028,,,,
6,0.404007,2.54435,,,,
4,1.9213,1.06225,,,,
6,0.343578,2.69365,,,,
7,2.15525,1.12431,,,,
3,2.13041,1.08658,,,,
1,0.713398,2.2702,,,,
7,2.04223,1.1072,,,,
1,0.988308,1.95919,,,,
8,1.13409,1.45957,,,,
2,1.27395,1.3531,,,,
0,0.844323,1.8421,,,,
2,1.4105,1.27726,,,,
9,2.18146,0.826171,,,,
9,1.62847,1.15179,,,,
5,1.39717,1.44989,,,,
5,1.05217,1.81229,,,,
1,0.965737,2.10499,,,,
5,1.36974,1.6702,,,,
6,0.771495,2.43724,,,,
0,1.12206,1.46518,,,,
3,2.20186,0.958393,,,,
4,2.08937,1.10502,,,,
4,0.6131,2.09783,,,,
6,0.248676,2.71832,,,,
5,1.21001,1.62573,,,,
4,1.66567,1.07063,,,,
6,0.318192,2.58268,,,,
5,0.781037,1.93725,,,,
4,1.16425,1.65154,,,,
5,1.26977,1.69481,,,,
1,0.732137,2.2562,,,,
4,2.07887,1.05776,,,,
4,1.37183,1.34073,,,,
7,1.61831,1.12465,,,,
2,1.22382,1.67707,,,,
3,1.59648,1.34416,,,,
2,1.55148,1.22187,,,,
7,1.33139,1.60529,,,,
1,0.858312,2.43502,,,,
8,1.46318,1.28119,,,,
1,0.73196,2.37061,,,,
8,1.35587,1.33509,,,,
1,1.27871,2.02718,,,,
8,1.03198,1.60866,,,,
5,1.6017,1.65127,,,,
0,0.905951,1.89345,,,,
8,1.04626,1.35484,,,,
9,1.59621,0.957856,,,,
2,1.25342,1.87379,,,,
5,1.32595,1.60826,,,,
0,1.00817,1.75244,,,,
1,0.709779,2.15991,,,,
1,0.881823,1.86381,,,,
1,1.27077,1.55258,,,,
0,0.627873,2.17657,,,,
9,1.69897,1.06872,,,,
0,1.5958,1.1654,,,,
3,2.26582,0.903424,,,,
1,0.8321,2.37662,,,,
6,0.350554,2.56568,,,,
4,1.62007,1.28504,,,,
2,1.45409,1.43048,,,,
3,1.36812,1.33403,,,,
6,0.234834,2.73457,,,,
1,0.764089,2.07378,,,,
1,1.16972,2.062,,,,
1,0.59986,2.24856,,,,
3,1.76403,1.26432,,,,
9,1.90164,0.828662,,,,
5,1.35858,1.20168,,,,
2,1.35425,1.58756,,,,
9,2.42024,0.891879,,,,
4,1.41408,1.20386,,,,
5,1.86062,1.59826,,,,
9,2.03157,0.940741,,,,
3,2.64981,1.23776,,,,
9,1.82311,0.901242,,,,
0,1.0595,1.69404,,,,
3,1.86755,1.26827,,,,
6,0.48882,2.31561,,,,
5,1.61212,1.52666,,,,
5,1.14134,1.6761,,,,
7,1.38154,1.15589,,,,
2,1.25977,1.55659,,,,
2,1.44298,1.35542,,,,
7,2.18745,0.734367,,,,
1,0.478647,2.37463,,,,
2,1.28762,1.5791,,,,
8,1.19508,1.56,,,,
4,1.13543,1.74521,,,,
1,0.823277,2.03765,,,,
7,1.76356,1.06312,,,,
3,1.22504,1.7405,,,,
3,1.62609,1.62622,,,,
8,0.775651,1.9279,,,,
8,1.60512,1.07122,,,,
7,1.92545,1.22559,,,,
9,1.93634,0.90747,,,,
2,1.57975,1.4821,,,,
2,1.47777,1.32122,,,,
4,1.61034,1.22319,,,,
1,0.796758,2.35395,,,,
5,0.934513,1.93606,,,,
9,1.34766,1.28255,,,,
8,0.881564,1.91496,,,,
7,2.1991,1.00428,,,,
2,1.82513,1.06104,,,,
3,1.43225,1.67299,,,,
0,0.838485,1.87976,,,,
4,0.535273,2.29819,,,,
4,1.76384,1.3817,,,,
2,1.31196,1.60536,,,,
4,1.31646,1.31414,,,,
1,0.806316,1.99506,,,,
9,2.49829,0.792889,,,,
5,1.59815,1.36878,,,,
7,1.97775,0.903638,,,,
7,1.91347,1.14961,,,,
2,1.57634,1.62921,,,,
8,0.664712,2.14559,,,,
2,1.27093,1.40887,,,,
6,0.505171,2.3163,,,,
8,1.41547,1.43091,,,,
5,1.61604,1.5607,,,,
7,1.70993,1.21963,,,,
7,1.95291,0.946304,,,,
9,1.84111,1.13432,,,,
1,0.989855,2.20627,,,,
8,0.99454,1.46203,,,,
1,0.805354,2.33837,,,,
8,0.714424,2.06268,,,,
0,0.680683,1.87674,,,,
3,2.81163,1.15116,,,,
0,0.958843,2.02499,,,,
1,0.918277,2.22227,,,,
9,2.07562,0.856725,,,,
9,2.29962,0.664545,,,,
4,1.53033,1.1809,,,,
1,0.807241,2.28158,,,,
8,1.63846,1.0668,,,,
2,1.44229,1.39032,,,,
1,0.998178,2.21081,,,,
2,1.31127,1.83572,,,,
9,2.69512,0.673684,,,,
7,2.2715,0.990602,,,,
5,1.86174,1.70977,,,,
9,2.01207,0.819125,,,,
2,1.44042,1.37158,,,,
6,0.263852,2.74707,,,,
4,1.42017,1.14455,,,,
1,1.11312,1.88535,,,,
5,1.20455,1.61519,,,,
8,1.14609,1.41915,,,,
2,1.29558,1.59064,,,,
9,1.6923,1.02832,,,,
2,1.39698,1.31442,,,,
0,1.01926,1.49247,,,,
4,1.5204,1.25642,,,,
0,0.628792,2.23033,,,,
0,0.700425,1.8673,,,,
2,1.0055,1.91648,,,,
8,1.41495,1.28441,,,,
4,1.38626,1.42503,,,,
7,2.2684,1.10172,,,,
1,0.774631,2.37066,,,,
2,1.2176,1.3791,,,,
4,1.41683,1.31847,,,,
0,1.78024,1.16859,,,,
2,1.20961,1.70021,,,,
7,2.49372,0.951846,,,,
4,1.43518,1.47847,,,,
3,1.8489,1.50166,,,,
3,1.35154,1.59608,,,,
0,0.912963,1.8807,,,,
0,0.739822,2.0124,,,,
3,1.28653,1.68383,,,,
1,1.00826,2.20205,,,,
9,1.84931,0.959082,,,,
6,0.496884,2.26464,,,,
5,1.47682,1.64975,,,,
2,1.19668,1.47172,,,,
5,1.09079,2.0007,,,,
9,2.09119,1.30462,,,,
2,2.01684,1.14423,,,,
9,2.4055,0.725767,,,,
3,2.42898,1.42453,,,,
0,1.45455,1.41145,,,,
4,1.04526,1.80339,,,,
2,0.662362,2.13569,,,,
0,0.851295,1.8984,,,,
7,2.00172,1.05597,,,,
1,0.633508,2.40034,,,,
1,0.825672,2.18176,,,,
2,1.61868,1.53649,,,,
1,0.760951,2.46053,,,,
5,2.36699,1.15772,,,,
3,2.16617,0.931629,,,,
3,1.92619,1.35322,,,,
9,1.74929,1.06151,,,,
7,1.6436,1.04438,,,,
8,1.3062,1.16824,,,,
6,0.392534,2.47017,,,,
5,1.11721,2.11921,,,,
6,0.601303,2.19644,,,,
1,0.942917,2.1898,,,,
3,0.954676,1.71164,,,,
8,1.36984,1.3988,,,,
1,1.55383,1.77725,,,,
0,1.18418,1.41523,,,,
5,1.16827,1.56175,,,,
1,0.580526,2.33808,,,,
3,2.44591,0.824233,,,,
1,0.977711,2.11967,,,,
5,1.22573,1.39315,,,,
5,1.12303,1.66256,,,,
6,0.332913,2.58495,,,,
1,0.76494,2.09469,,,,
8,0.79466,1.88999,,,,
5,1.61924,1.11333,,,,
1,0.949964,2.12989,,,,
7,1.96797,1.02295,,,,
9,1.79289,0.851999,,,,
4,1.93916,1.0023,,,,
6,0.360783,2.70592,,,,
2,1.83148,1.02896,,,,
2,1.40256,1.78463,,,,
5,1.25592,1.74657,,,,
0,1.18656,1.66381,,,,
6,0.384819,2.4292,,,,
5,1.40481,1.48224,,,,
6,0.436932,2.43707,,,,
3,1.24398,1.50029,,,,
7,2.49165,1.01093,,,,
2,1.67605,1.52576,,,,
0,1.31977,1.46402,,,,
8,1.64592,1.29054,,,,
8,1.25123,1.34922,,,,
5,1.20998,1.49785,,,,
4,2.05509,1.09568,,,,
1,1.05078,2.01788,,,,
1,0.84349,2.33378,,,,
4,1.20557,1.27403,,,,
0,1.04309,1.76594,,,,
3,1.64928,1.62372,,,,
3,2.16383,0.937431,,,,
7,2.136,1.04341,,,,
6,0.229394,2.83741,,,,
1,0.687298,2.53799,,,,
6,0.429432,2.41683,,,,
2,1.78795,1.21357,,,,
1,1.10005,1.69954,,,,
9,2.24962,0.847759,,,,
2,1.37419,1.49397,,,,
8,1.08995,1.68481,,,,
6,0.381696,2.45538,,,,
1,1.07811,1.95033,,,,
9,1.62477,0.862828,,,,
5,0.690814,1.93096,,,,
2,1.14362,1.73956,,,,
5,1.68003,1.48668,,,,
4,1.43946,1.30739,,,,
4,0.836914,1.98356,,,,
2,1.34124,1.514,,,,
8,1.7111,0.993468,,,,
3,1.6455,2.01364,,,,
8,1.38236,1.24228,,,,
2,1.65466,1.3583,,,,
4,1.53454,1.2826,,,,
5,0.891215,1.81077,,,,
0,1.44624,1.26319,,,,
3,1.46924,1.43107,,,,
1,1.09301,1.92762,,,,
7,2.10433,1.03245,,,,
7,2.08109,1.08979,,,,
5,1.71455,0.950191,,,,
7,2.30346,0.607456,,,,
9,2.35295,0.883354,,,,
7,1.76111,0.94685,,,,
1,0.616693,2.42727,,,,
9,2.10889,1.07215,,,,
2,1.15274,1.59401,,,,
1,0.864504,2.27963,,,,
4,1.67723,1.32874,,,,
2,1.17865,1.62729,,,,
9,2.38002,0.790004,,,,
2,1.61463,1.20443,,,,
0,1.06084,1.58052,,,,
4,1.3805,1.42317,,,,
9,2.30707,0.872727,,,,
1,1.04005,2.1266,,,,
4,1.15601,1.51055,,,,
8,1.66769,1.31698,,,,
1,0.585755,2.46516,,,,
8,1.4315,1.34392,,,,
4,1.09431,1.68746,,,,
5,1.72205,1.51929,,,,
9,2.23355,0.906973,,,,
8,2.68175,0.771015,,,,
8,1.22928,1.38336,,,,
3,1.70347,1.39326,,,,
7,1.82329,0.91782,,,,
6,0.512887,2.18347,,,,
0,1.12074,1.57858,,,,
0,0.557598,2.04355,,,,
3,2.44196,0.872474,,,,
0,1.09235,1.81572,,,,
2,1.73549,1.22144,,,,
6,0.440598,2.41812,,,,
6,0.520559,2.32945,,,,
4,1.73675,1.32625,,,,
9,1.77658,1.06941,,,,
3,1.56738,1.71102,,,,
3,1.5741,1.23143,,,,
3,2.01255,0.780573,,,,
2,1.53877,1.34948,,,,
3,1.47417,1.44074,,,,
9,2.16823,0.877163,,,,
1,0.64552,2.19508,,,,
2,1.75159,1.43241,,,,
6,0.61962,2.02011,,,,
8,1.23963,1.57901,,,,
0,1.6849,1.42156,,,,
5,1.45981,1.23868,,,,
6,0.370648,2.58627,,,,
6,0.544871,2.34114,,,,
6,0.320934,2.56032,,,,
3,1.90552,1.13286,,,,
8,2.75929,0.480689,,,,
8,1.10276,1.77178,,,,
2,1.70235,1.30722,,,,
7,1.90698,1.14591,,,,
5,1.98153,1.23019,,,,
8,1.31965,1.41329,,,,
9,1.59544,0.999517,,,,
6,0.26405,2.76304,,,,
1,1.17181,1.95139,,,,
8,1.69556,0.960056,,,,
4,1.2628,1.45442,,,,
1,0.916841,2.13768,,,,
2,1.53353,1.33162,,,,
5,0.973101,1.82681,,,,
9,1.95363,0.894442,,,,
1,0.622236,2.21136,,,,
9,1.99759,0.862194,,,,
7,1.70772,1.0729,,,,
5,1.23526,1.82068,,,,
4,1.50308,1.28344,,,,
0,0.842694,1.68364,,,,
8,1.76879,1.24627,,,,
9,2.29319,0.583243,,,,
9,1.91467,1.04246,,,,
1,0.575111,2.40868,,,,
0,0.813016,1.94688,,,,
5,1.5897,1.37081,,,,
2,1.46427,1.70386,,,,
3,1.24643,1.71457,,,,
7,2.29074,0.76261,,,,
8,0.672484,2.07941,,,,
9,2.31356,0.899798,,,,
4,1.2264,1.42081,,,,
0,1.40095,1.47049,,,,
6,0.362397,2.61443,,,,
3,2.26795,0.875092,,,,
9,2.36768,0.655932,,,,
5,1.07704,2.06455,,,,
2,1.7346,1.31241,,,,
1,0.966264,2.15837,,,,
3,1.57344,1.37741,,,,
1,0.894611,1.99871,,,,
3,1.13668,1.86889,,,,
6,0.548327,2.16436,,,,
5,1.71606,1.11044,,,,
7,2.17026,1.01175,,,,
4,1.29725,1.41217,,,,
2,1.01771,1.76665,,,,
2,1.56207,1.24897,,,,
6,0.54613,2.25839,,,,
3,2.27265,1.11778,,,,
2,1.49315,1.5389,,,,
6,0.226618,2.7873,,,,
5,1.55781,1.59276,,,,
4,1.37524,1.35052,,,,
8,0.804862,1.88883,,,,
9,2.3091,1.14721,,,,
7,2.16985,0.930192,,,,
1,0.857342,1.97486,,,,
3,1.14616,1.56239,,,,
0,0.879526,1.75413,,,,
3,1.86687,0.977931,,,,
8,0.909046,1.67959,,,,
3,1.77863,1.42043,,,,
1,0.815545,2.29558,,,,
9,1.84968,0.945709,,,,
3,1.19507,1.7866,,,,
4,1.30558,1.28186,,,,
4,1.12598,1.67139,,,,
6,0.547477,2.30896,,,,
4,1.36057,1.31249,,,,
2,1.49682,1.49349,,,,
1,0.544485,2.43279,,,,
8,0.578999,2.04683,,,,
2,1.2862,1.85502,,,,
5,1.98818,1.23284,,,,
4,1.58896,1.27254,,,,
8,1.44801,1.43894,,,,
8,1.5226,1.18964,,,,
4,1.24465,1.30656,,,,
0,1.27173,1.34782,,,,
0,1.13913,1.58157,,,,
2,1.90366,1.7471,,,,
3,1.80474,1.33493,,,,
2,1.08497,1.83608,,,,
7,1.61715,1.42267,,,,
7,3.03596,1.02577,,,,
0,1.21342,1.60067,,,,
8,0.717895,2.06121,,,,
7,1.35895,1.37747,,,,
4,1.37911,1.34662,,,,
4,1.2144,1.52204,,,,
7,2.25529,0.924998,,,,
9,2.50311,0.735878,,,,
6,0.312802,2.68702,,,,
9,2.83976,0.702375,,,,
0,1.02404,1.70822,,,,
9,2.19815,0.802077,,,,
8,2.38497,0.908814,,,,
0,1.1607,1.5121,,,,
4,1.69421,1.11469,,,,
6,0.464443,2.31404,,,,
0,0.855651,1.76568,,,,
6,0.40814,2.64771,,,,
3,1.60423,1.37952,,,,
5,1.72374,1.12891,,,,
4,2.23121,0.731096,,,,
8,2.24811,0.796556,,,,
3,1.70949,1.3403,,,,
3,1.62961,1.27549,,,,
9,2.61707,0.778085,,,,
3,1.80307,1.48006,,,,
3,2.09605,0.982195,,,,
3,1.53206,1.40635,,,,
7,2.18794,0.896778,,,,
8,1.44536,1.06826,,,,
0,0.73284,2.07706,,,,
8,1.51583,1.41391,,,,
2,1.92666,1.15432,,,,
1,0.966876,1.91338,,,,
7,2.1021,1.02762,,,,
0,0.860322,1.73397,,,,
6,0.43627,2.4393,,,,
5,1.65282,1.52605,,,,
4,1.84853,1.0748,,,,
3,1.04346,1.70065,,,,
8,1.52944,1.2057,,,,
0,0.878164,1.78952,,,,
9,2.33004,0.803704,,,,
6,0.372329,2.58428,,,,
3,1.32292,1.72078,,,,
8,2.35021,1.05659,,,,
0,0.818289,1.91263,,,,
9,2.47163,0.689483,,,,
9,2.21208,0.778623,,,,
6,0.260257,2.68533,,,,
8,1.26847,1.30444,,,,
6,0.303968,2.76967,,,,
8,2.58001,0.76775,,,,
5,1.1144,1.71117,,,,
7,2.52663,0.761989,,,,
8,0.927284,1.90418,,,,
6,0.263522,2.75188,,,,
0,0.927529,1.6998,,,,
2,1.54432,1.32151,,,,
4,0.948416,2.06112,,,,
0,1.14756,1.6693,,,,
2,1.3163,1.53222,,,,
2,1.53646,1.29557,,,,
3,1.75337,1.49586,,,,
1,0.660828,2.11468,,,,
9,2.38715,0.720296,,,,
7,2.11216,1.10626,,,,
5,1.37807,1.54612,,,,
1,1.12514,1.54188,,,,
0,1.10027,1.56779,,,,
8,1.46926,1.32711,,,,
4,1.21806,1.57489,,,,
6,0.277668,2.8068,,,,
2,1.13058,1.55642,,,,
6,0.506078,2.39978,,,,
7,2.85225,0.791033,,,,
9,1.79848,0.908569,,,,
3,1.90502,1.10269,,,,
2,1.12798,1.60055,,,,
9,2.08556,0.846341,,,,
8,1.70953,1.02652,,,,
2,0.937864,1.55465,,,,
2,1.88911,1.43285,,,,
9,2.67507,0.610854,,,,
2,1.35029,1.72493,,,,
7,2.21151,0.978212,,,,
3,1.51435,1.49592,,,,
5,1.34191,1.55493,,,,
9,2.40226,0.830586,,,,
1,0.93682,2.05582,,,,
8,0.647235,1.88828,,,,
0,0.896716,1.81497,,,,
2,1.18603,1.68603,,,,
0,0.909191,1.85636,,,,
5,0.811291,1.83976,,,,
2,0.915488,2.20619,,,,
1,1.02896,1.93983,,,,
3,1.41718,1.357,,,,
7,2.06816,1.0451,,,,
6,0.352195,2.41243,,,,
7,2.11618,0.784104,,,,
1,1.0233,2.14512,,,,
2,1.36776,1.65629,,,,
5,1.34795,1.33974,,,,
8,1.90627,0.907588,,,,
0,0.933391,1.76125,,,,
3,2.16619,0.988863,,,,
7,2.34358,0.64245,,,,
2,1.63117,1.11409,,,,
4,1.0661,1.70864,,,,
0,0.852235,1.92458,,,,
9,2.58116,0.711937,,,,
1,0.866124,2.19149,,,,
8,1.03143,1.91713,,,,
6,0.517936,2.39898,,,,
7,2.18038,0.978822,,,,
7,1.93023,1.40576,,,,
4,1.27667,1.50755,,,,
3,1.57287,1.36911,,,,
4,1.83115,1.14588,,,,
9,1.89722,1.01875,,,,
1,0.653513,2.38552,,,,
9,2.42902,0.825863,,,,
5,1.6381,1.58124,,,,
1,1.09135,2.17908,,,,
7,1.46452,1.24315,,,,
3,1.2489,1.42623,,,,
9,2.40034,0.819048,,,,
7,2.10755,1.16035,,,,
6,0.335643,2.71035,,,,
9,2.37398,0.735426,,,,
1,0.794929,2.39751,,,,
3,1.36487,1.41659,,,,
7,2.08373,0.947227,,,,
8,1.63131,1.31981,,,,
3,1.74541,1.29652,,,,
3,1.97783,1.31986,,,,
6,0.732715,2.02777,,,,
7,1.36445,1.30194,,,,
2,1.8336,1.31801,,,,
8,0.950663,1.66804,,,,
5,1.25346,1.63445,,,,
8,1.04627,1.47696,,,,
5,1.51557,1.44121,,,,
1,0.914824,2.13724,,,,
1,1.26213,1.81457,,,,
4,1.5449,1.27386,,,,
4,1.58308,1.26757,,,,
3,2.2098,1.06742,,,,
1,1.59768,1.37078,,,,
0,1.01055,1.82906,,,,
7,1.93204,1.04965,,,,
7,1.90986,1.06533,,,,
0,0.848005,1.93314,,,,
7,1.65358,1.06766,,,,
9,2.33203,0.78594,,,,
4,1.50609,1.21631,,,,
4,1.43921,1.34415,,,,
8,1.34097,1.24833,,,,
5,1.57636,1.44883,,,,
5,1.56025,1.34395,,,,
4,1.97544,0.941477,,,,
0,1.37602,1.4275,,,,
8,1.35281,1.33947,,,,
2,1.30774,1.57279,,,,
1,1.61028,1.49799,,,,
0,1.04826,1.68922,,,,
8,1.8522,1.1496,,,,
4,1.50393,1.38066,,,,
5,0.94823,1.83101,,,,
0,1.17421,1.55905,,,,
4,1.60419,1.27754,,,,
0,1.24288,1.72886,,,,
6,0.173294,3.02377,,,,
1,0.705795,2.40499,,,,
7,1.65744,1.10494,,,,
3,2.50811,1.13322,,,,
2,1.33531,1.38224,,,,
6,0.257331,2.76053,,,,
7,1.338,1.26407,,,,
2,1.38037,1.24442,,,,
6,0.310515,2.66458,,,,
9,2.23485,0.789724,,,,
3,2.00106,1.56377,,,,
1,0.821654,2.31072,,,,
4,1.42174,1.44316,,,,
6,0.602392,2.54271,,,,
2,1.43408,1.49092,,,,
5,1.01262,1.60456,,,,
4,2.31533,0.920947,,,,
2,1.4454,1.13737,,,,
0,0.882032,2.07173,,,,
6,0.451788,2.33704,,,,
2,1.4806,1.61142,,,,
1,0.954927,1.8391,,,,
7,1.76089,1.11076,,,,
3,1.80725,1.17367,,,,
4,2.17451,0.852253,,,,
1,0.843367,2.19905,,,,
0,0.83282,1.79084,,,,
5,1.31981,1.43634,,,,
4,1.47018,1.32466,,,,
3,1.09901,1.63477,,,,
1,0.615954,2.4171,,,,
1,1.22591,1.95241,,,,
7,2.46038,0.914747,,,,
4,1.25293,1.42458,,,,
9,2.22051,0.774902,,,,
9,2.66205,0.781342,,,,
4,1.62446,1.27508,,,,
8,0.908304,1.73964,,,,
4,0.822893,1.79353,,,,
0,1.01503,1.69281,,,,
2,0.941814,1.59158,,,,
4,1.22056,1.41234,,,,
5,1.60583,1.19436,,,,
1,0.983957,1.94497,,,,
1,0.768733,2.39717,,,,
6,0.416061,2.42124,,,,
4,1.4114,1.49003,,,,
7,1.81166,0.990926,,,,
1,1.13108,1.83008,,,,
9,2.27051,0.775627,,,,
4,1.54972,1.26568,,,,
2,1.24327,1.62406,,,,
4,1.34402,1.34189,,,,
1,1.11689,1.86946,,,,
5,1.06383,1.76061,,,,
5,1.65071,1.64158,,,,
3,2.739,1.26108,,,,
8,1.8093,1.43502,,,,
3,1.86796,1.25645,,,,
1,1.01291,2.27405,,,,
4,1.25811,1.38093,,,,
5,2.29361,1.17807,,,,
6,0.964166,2.0601,,,,
8,1.20517,1.45831,,,,
9,2.17054,0.934281,,,,
4,1.66057,1.22367,,,,
1,0.785195,2.03954,,,,
5,1.24238,1.35649,,,,
3,2.63904,1.06149,,,,
8,1.3741,1.01789,,,,
0,0.676167,1.99896,,,,
3,1.60517,1.47974,,,,
2,1.03284,1.67777,,,,
5,1.67182,1.39807,,,,
1,1.08584,1.82245,,,,
2,1.45858,1.49667,,,,
8,0.480152,2.1003,,,,
3,1.68794,1.30129,,,,
4,1.79321,1.03854,,,,
4,1.40296,1.54893,,,,
0,1.00648,1.79243,,,,
8,1.13235,1.48073,,,,
8,1.36757,1.46797,,,,
3,1.66488,1.5192,,,,
3,1.91363,1.06221,,,,
1,0.800274,2.28964,,,,
7,1.33856,1.40207,,,,
3,2.15694,1.22623,,,,
5,0.945373,1.73899,,,,
9,1.6284,0.993378,,,,
6,0.356575,2.6162,,,,
3,1.84979,1.03982,,,,
2,1.64294,1.32578,,,,
6,0.350867,2.58708,,,,
1,0.640092,2.37064,,,,
3,1.94734,1.5645,,,,
6,0.232194,2.8207,,,,
0,1.12083,1.59831,,,,
7,2.46611,0.87091,,,,
2,1.02022,1.68723,,,,
1,0.628847,2.36685,,,,
7,1.46104,1.22214,,,,
1,0.708314,2.31015,,,,
4,1.68558,1.44166,,,,
2,1.20653,1.76185,,,,
4,0.853027,1.87593,,,,
2,1.22675,1.33425,,,,
1,0.694351,2.17608,,,,
7,2.69802,1.00655,,,,
9,1.9788,0.716868,,,,
6,0.310588,2.63003,,,,
1,0.464103,2.44267,,,,
1,0.664245,2.30185,,,,
2,1.76192,1.31657,,,,
4,1.29957,1.41887,,,,
8,0.676856,2.00143,,,,
1,1.07521,1.73207,,,,
7,1.86076,1.28825,,,,
7,1.94324,0.979694,,,,
4,1.77027,1.19711,,,,
8,1.91818,0.97924,,,,
0,1.01411,1.66434,,,,
7,1.48604,1.31031,,,,
3,1.81441,1.58148,,,,
1,0.645553,2.22401,,,,
3,1.33562,1.46111,,,,
1,0.714439,2.28328,,,,
0,0.714073,2.02389,,,,
7,1.48216,1.19653,,,,
7,2.52981,0.943454,,,,
0,1.77164,0.897358,,,,
3,1.74936,0.987993,,,,
5,1.11535,1.59421,,,,
5,1.88277,1.46264,,,,
2,1.35914,1.4184,,,,
7,1.87295,1.1092,,,,
6,0.311526,2.7657,,,,
6,0.514013,2.40054,,,,
9,2.39162,0.717772,,,,
2,1.46018,1.40175,,,,
8,1.30188,1.35501,,,,
